"DATA","APERTURA","MASSIMO","MINIMO","CHIUSURA","VAR % CLOSE","VOLUME"
"20/04/18","23.803,40","23.950,53","23.698,91","23.829,34","0,16","482757279"
"23/04/18","23.783,04","23.982,52","23.765,66","23.982,52","0,64","407396947"
"24/04/18","23.935,50","24.073,69","23.933,99","24.035,49","0,22","468618042"
"25/04/18","23.932,83","24.023,78","23.680,22","23.801,20","-0,97","453749065"
"26/04/18","23.853,39","24.039,63","23.800,82","24.039,63","1,00","392750087"
"27/04/18","23.997,75","24.048,31","23.801,38","23.927,61","-0,47","365879109"
"30/04/18","23.938,73","24.012,83","23.823,37","23.979,37","0,22","347488111"
"02/05/18","24.014,71","24.305,64","23.999,23","24.265,61","1,19","475513236"
"03/05/18","24.229,29","24.269,53","24.026,56","24.064,46","-0,83","369792888"
"04/05/18","24.174,63","24.335,02","24.143,56","24.335,02","1,12","550617593"
"07/05/18","24.355,16","24.544,26","24.274,65","24.544,26","0,86","402260056"
"08/05/18","24.488,45","24.512,30","23.950,89","24.142,54","-1,64","686144991"
"09/05/18","24.218,09","24.419,35","24.209,21","24.266,56","0,51","485283421"
"10/05/18","24.279,55","24.329,05","23.871,01","24.033,90","-0,96","614446379"
"11/05/18","24.123,38","24.171,43","23.969,76","24.159,34","0,52","426385703"
"14/05/18","24.159,85","24.221,47","23.959,61","24.221,47","0,26","315402774"
"15/05/18","24.143,55","24.359,66","24.141,62","24.297,17","0,31","476154354"
"16/05/18","24.175,74","24.220,63","23.616,91","23.734,22","-2,32","801457863"
"17/05/18","23.830,61","23.985,03","23.612,53","23.801,99","0,29","579243110"
"18/05/18","23.918,60","23.920,97","23.384,19","23.449,65","-1,48","787018949"
"21/05/18","23.082,63","23.427,55","22.951,98","23.092,38","-1,52","568344074"
"22/05/18","23.135,48","23.298,45","23.024,29","23.216,57","0,54","555108966"
"23/05/18","23.061,29","23.061,29","22.754,48","22.911,71","-1,31","472039606"
"24/05/18","22.990,36","23.141,84","22.627,00","22.749,08","-0,71","473460215"
"25/05/18","22.794,71","22.827,57","22.205,05","22.398,15","-1,54","738814763"
"28/05/18","22.634,77","22.855,69","21.797,16","21.932,69","-2,08","701159846"
"29/05/18","21.554,16","21.665,53","21.122,51","21.350,88","-2,65","1068416104"
"30/05/18","21.479,93","21.870,30","21.287,26","21.797,82","2,09","805940105"
"31/05/18","21.881,42","22.099,78","21.599,88","21.784,18","-0,06","988045064"
"01/06/18","22.251,33","22.416,47","22.019,85","22.109,55","1,49","739070688"
"04/06/18","22.352,20","22.380,75","21.915,84","22.009,95","-0,45","469605426"
"05/06/18","21.944,51","22.194,83","21.750,15","21.750,15","-1,18","547034825"
"06/06/18","21.814,52","21.877,18","21.411,98","21.807,59","0,26","596659813"
"07/06/18","21.955,42","22.072,99","21.689,65","21.767,60","-0,18","441474520"
"08/06/18","21.497,91","21.660,83","21.298,04","21.355,98","-1,89","456613499"
"11/06/18","21.786,20","22.139,31","21.740,13","22.086,20","3,42","575169412"
"12/06/18","22.199,40","22.339,66","21.998,17","22.119,76","0,15","419252123"
"13/06/18","22.169,50","22.363,72","22.114,99","22.216,18","0,44","430674955"
